Mean,Variance,Median,Lower Quartile,Upper Quartile,Label,Matrix_ID
-35.89017302175749,606.1229021408682,-33.91936930815457,-56.38960976963284,-19.384048394025964,0.0,0.0
-33.82625720542025,314.5916904157619,-32.64938453082542,-50.102868174168364,-22.750978165368743,0.0,0.0
-34.45364456124115,466.3085708650492,-36.566563259818594,-48.90911576525623,-21.067505289343146,0.0,0.0
-31.89370963605785,505.9535312521988,-27.077259965309267,-46.50003296921125,-12.612624718802262,0.0,0.0
-30.728460186240863,317.56220362847716,-36.04564636755172,-42.94519213305216,-13.410881757862908,0.0,0.0
-34.278971524876304,372.8527680409603,-35.743829278193786,-51.524785783784594,-14.641193066732018,0.0,0.0
-32.04381566589796,471.22210091690823,-35.34331654740858,-49.03463098587319,-10.869196005353839,0.0,0.0
-28.9285396377236,418.5745611240162,-22.6290111367187,-42.87595252933756,-11.13840357782955,0.0,0.0
-26.425382205686304,275.610669947722,-27.760408007433156,-40.43189982163225,-11.915313866774703,0.0,0.0
-38.649717601005484,532.3385419372701,-40.414762774236024,-58.74336670221217,-18.995309013687766,0.0,0.0
-34.79261058777557,510.19638951340994,-27.04148384000829,-55.662000437245545,-18.275260867256225,0.0,0.0
-37.44057505917131,469.54179452334495,-40.47452364052388,-52.000200872286264,-21.029958852797748,0.0,0.0
-29.48510565235846,454.4089448396163,-21.150999104444132,-41.928530285199066,-14.792878972915673,0.0,0.0
-30.499815996641765,454.44495286339736,-26.753661003748704,-45.06759563481822,-16.679067459845054,0.0,0.0
-37.63792496949779,476.69021563415953,-35.68339248133996,-54.94420090416794,-23.12136406842625,0.0,0.0
-37.451256301584365,579.2841158334287,-42.205482304235154,-56.4607916541805,-17.274624218568903,0.0,0.0
-36.761889413232566,409.7434953660825,-28.90104394058247,-53.71703031586529,-21.59613837857885,0.0,0.0
-32.24876374036398,550.6288960796326,-32.34550715537617,-55.58033421596114,-11.949924203689424,0.0,0.0
-34.764181946776375,649.9182251986662,-33.82310581323174,-54.321332933820486,-13.69022131644041,0.0,0.0
-39.34490928477602,462.7766743358337,-36.73473808911247,-50.71124766745554,-26.877106890406743,0.0,0.0
-28.395340815060003,375.80731090850924,-21.787510109895653,-46.94261117152455,-16.65178945334501,0.0,0.0
-31.62591994042315,407.11322152949964,-28.776790831446817,-38.20066356581722,-17.15773903952423,0.0,0.0
-31.308520559605903,474.7731370505313,-24.855256567052166,-54.60941827510507,-16.04437408000002,0.0,0.0
-29.232393473020238,493.81690112284116,-25.31876570404579,-51.38642253224431,-10.912984855091286,0.0,0.0
-32.0252349613935,426.38862121695973,-30.35470223439774,-43.332562685991405,-15.987027875659269,0.0,0.0
-30.907312425708103,572.5594029266342,-25.62134015204576,-45.048135288306085,-12.66719062803206,0.0,0.0
-29.472944737816977,699.2227448615065,-24.2337937996761,-49.576625141429545,-3.6052435980157087,0.0,0.0
-36.26116340408759,369.2191960018888,-33.61511594381384,-50.78798693129701,-21.2772274387659,0.0,0.0
-39.6168165471696,694.4714041655747,-36.0988973845362,-70.07248264165182,-16.6408351789807,0.0,0.0
-27.74907670970498,301.10088399553047,-27.004621220690886,-36.390439107022964,-15.616995819048686,0.0,0.0
-35.74785191995439,409.2155062670555,-30.852581002749112,-49.48736177481159,-19.263449182800265,0.0,0.0
-34.13523762246326,439.02671371763506,-27.5856368484351,-53.393525657531384,-16.354951899075665,0.0,0.0
-35.74921446820631,320.13057750284895,-33.5943505368667,-49.73592791032294,-23.297504970668047,0.0,0.0
-27.63879269468049,252.33603009197995,-29.736029890194633,-40.35778074093353,-14.431657938707765,0.0,0.0
-32.160656741023345,497.01746692347587,-33.70110791347739,-44.14749108066513,-16.545081895651773,0.0,0.0
-34.85508767711518,433.6627897917171,-29.935247423860474,-49.16060270820602,-24.5473942364865,0.0,0.0
